col,Car Name,Model,Year,Seats,Chassis Number,Color,Plate Number,Doors,Price Daily,Price Weekly,Price Monthly,Transmition,Category,Kilo_Daily,Kilo_Monthly,Main Picture,Galary Pictures,Social Media ,Website,Approve,Comments, link photos
17-Jul,Honda,"	Odyssey",2020,8,5FNRL6H55LB049850,Gray,A-52271,4,dh249.00,"dh1,499.00","dh4,499.00",Automatic,Mid-range/ Premium,250,4500,TRUE,TRUE,TRUE,TRUE,TRUE,,
15-May,Nissan,Sunny,2020,5,MDHBN7AD7LG722534,White,B-48806,4,dh70.00,dh419.00,"dh1,399.00",Automatic,Economy,250,4500,TRUE,TRUE,TRUE,TRUE,TRUE,,
1292-29,Mercedes Benz ,CLA 250,2021,5,W1K5J4GB3MN2182686,Silver,CC-33951,4,dh349.00,"dh2,050.00","dh6,999.00",Automatic,Mid-range/ Premium,250,4500,TRUE,TRUE,TRUE,TRUE,FALSE,,
734-25,Land Rover,Defender V4,2024,5,SALEJ7EX0R2258112,Silver,        CC-29420,5,dh899.00,"dh4,999.00","dh18,999.00",Automatic,Luxury,250,4500,TRUE,TRUE,TRUE,TRUE,FALSE,,
287-19,Land Rover,Defender V6,2022,5,"SALEP7RU1N2078467	",White,"	A-50787",5,dh899.00,"dh4,999.00","dh18,999.00",Automatic,Luxury,250,4500,TRUE,TRUE,TRUE,TRUE,FALSE,,
732-24,Mercedes Benz ,S500,2022,5,W1K6G6DB3NA078171        ,White,        CC-30531,4,"dh1,199.00","dh7,199.00","dh22,999.00",Automatic,Luxury,250,4500,TRUE,TRUE,TRUE,TRUE,FALSE,,
746-27,Land Rover ,Range Rover Vouge V6 ,2024,7,SALKP9FUXRA222371,White,CC-29422,5,"dh1,399.00","dh8,299.00","dh29,999.00",Automatic,Luxury,250,4500,TRUE,TRUE,TRUE,TRUE,FALSE,,
5609-51,Land Rover,Range Rover Vouge,2023,7,"SALKP9FU1PA009161	",Gold,BB-90835,5,"dh1,399.00","dh8,299.00","dh29,999.00",Automatic,Luxury,250,4500,FALSE,FALSE,FALSE,FALSE,FALSE,,
3739-45,Mercedes Benz ,GLS 450,2022,7,4JGFF5KE4NA671540,White,CC-92241,4,dh919.00,"dh5,499.00","dh19,799.00",Automatic,Luxury,250,4500,FALSE,FALSE,TRUE,FALSE,FALSE,,
5608-50,Mercedes Benz ,GLE 53,2023,5,4JGFB6BB0PA957945,White,Y-60125,4,dh599.00,"dh3,499.00","dh11,899.00",Automatic,Luxury,250,4500,TRUE,TRUE,TRUE,TRUE,FALSE,,
729-23,Hyundai,Tucson,2022,5,5NMJB3AE8NH156434,Black,CC-30529,4,dh149.00,dh890.00,"dh2,999.00",Automatic,Economy,250,4500,TRUE,TRUE,TRUE,TRUE,FALSE,,
4681-48,Cadillac,Escalade,2023,8,1GYS4DKL8PR400027,Black,N-85540,4,dh949.00,"dh5,649.00","dh21,999.00",Automatic,Luxury,250,4500,TRUE,TRUE,TRUE,TRUE,FALSE,,
3735-44,BMW,3 Series 330i,2024,5,3MW69FF00R8E14597,Silver,CC-92505,4,"dh3,999.00","dh2,999.00","dh7,999.00",Automatic,Mid-range/ Premium,250,4500,TRUE,TRUE,TRUE,TRUE,FALSE,,
